PAYMENT_ID,ORDER_ID,PAYMENT_METHOD,PAYMENT_DATE,PAYMENT_STATUS,AMOUNT
PM037,O0037,UPI,2024-07-26,Pending,340000
PM038,O0038,Debit Card,2024-07-05,Success,234000
PM039,O0039,Cash on Delivery,2024-08-14,Pending,116000
PM040,O0040,UPI,2024-09-18,Success,120000
PM041,O0041,Cash on Delivery,2024-08-13,Success,32000
PM042,O0042,UPI,2024-08-31,Refunded,290000
PM043,O0043,UPI,2024-08-29,Success,120000
PM044,O0044,Net Banking,2024-09-28,Success,120000
PM045,O0045,Debit Card,2024-07-16,Success,12500
PM046,O0046,Net Banking,2024-08-24,Pending,174000
PM047,O0047,Cash on Delivery,2024-09-03,Success,140000
PM048,O0048,Net Banking,2024-08-09,Pending,210000
PM049,O0049,Wallet,2024-07-25,Refunded,280000
PM050,O0050,Wallet,2024-09-06,Success,170000
PM051,O0051,Net Banking,2024-09-09,Success,425000
PM052,O0052,Wallet,2024-09-20,Success,232000
PM053,O0053,Credit Card,2024-08-15,Success,7500
PM054,O0054,UPI,2024-07-23,Success,5000
PM055,O0055,Net Banking,2024-08-11,Pending,7000
PM056,O0056,Net Banking,2024-09-02,Pending,195000
PM057,O0057,Wallet,2024-09-07,Success,12500
PM058,O0058,Credit Card,2024-08-04,Success,10000
PM059,O0059,UPI,2024-09-17,Pending,255000
PM060,O0060,Cash on Delivery,2024-08-23,Refunded,7500
PM061,O0061,UPI,2024-09-09,Success,480000
PM062,O0062,Wallet,2024-08-16,Success,156000
PM063,O0063,Wallet,2024-09-03,Success,10000
PM064,O0064,Cash on Delivery,2024-07-14,Success,85000
PM065,O0065,Cash on Delivery,2024-09-05,Success,12500
PM066,O0066,Wallet,2024-07-13,Pending,5000
PM067,O0067,Debit Card,2024-09-20,Refunded,140000
PM068,O0068,Net Banking,2024-09-18,Success,232000
PM069,O0069,Net Banking,2024-08-02,Success,312000
PM070,O0070,Wallet,2024-09-21,Success,12500
PM071,O0071,UPI,2024-07-16,Refunded,3500
PM072,O0072,Debit Card,2024-07-12,Success,290000
PM073,O0073,UPI,2024-07-13,Success,7000
PM074,O0074,Wallet,2024-07-08,Success,24000
PM075,O0075,Credit Card,2024-09-07,Success,255000
PM076,O0076,Credit Card,2024-09-23,Pending,7500
PM077,O0077,Net Banking,2024-08-04,Success,10000
PM078,O0078,Credit Card,2024-08-04,Success,130000
PM079,O0079,Wallet,2024-08-26,Refunded,425000
PM080,O0080,Credit Card,2024-08-10,Success,156000
PM081,O0081,Credit Card,2024-08-12,Success,390000
PM082,O0082,Cash on Delivery,2024-07-26,Refunded,5000
PM083,O0083,Net Banking,2024-08-06,Success,130000
PM084,O0084,Cash on Delivery,2024-09-21,Success,12500
PM085,O0085,Credit Card,2024-07-06,Success,14000
PM086,O0086,Debit Card,2024-09-19,Success,360000
PM087,O0087,Wallet,2024-09-05,Pending,70000
PM088,O0088,Wallet,2024-08-03,Pending,340000
PM089,O0089,Debit Card,2024-09-26,Success,290000
PM090,O0090,Debit Card,2024-07-01,Refunded,3500
PM091,O0091,Wallet,2024-07-22,Refunded,600000
PM092,O0092,Cash on Delivery,2024-07-05,Success,32000
PM093,O0093,Cash on Delivery,2024-08-01,Success,170000
PM094,O0094,UPI,2024-07-06,Success,156000
PM095,O0095,Net Banking,2024-08-06,Success,2500
PM096,O0096,Debit Card,2024-08-15,Pending,425000
PM097,O0097,Net Banking,2024-07-21,Success,260000
PM098,O0098,Debit Card,2024-07-04,Pending,70000
PM099,O0099,Debit Card,2024-07-11,Pending,312000
PM100,O0100,Credit Card,2024-08-25,Pending,7500
